시장,종목명,코드,최종확률,절대금지확률,관망확률,예측시점가격,목표가,손절가,거래량파워
KOSPI,KG모빌리티,003620,33.21199240898196,38.20738077934809,28.58062681166995,3625,3770,3516,85
KOSPI,삼일제약,000520,25.531857330990686,48.33784061636941,26.130303542756028,7030,7311,6819,245
KOSPI,GS글로벌,001250,32.41119857470468,45.134134488571554,22.454667681781828,3560,3702,3453,22
KOSPI,아이에스동서,010780,39.71370375825556,39.563678109800726,20.722619622059835,30000,31200,29100,90
KOSPI,삼성물산우B,02826K,27.803338444909404,34.39569634425677,37.80096446577576,228000,237120,221160,148
KOSPI,경동나비엔,009450,35.23121584173058,39.680295008920716,25.088488404290647,71100,73944,68967,58
KOSPI,세아제강지주,003030,52.737947655189444,29.83793813657931,17.424114953289298,170900,177736,165773,57
KOSPI,유진투자증권,001200,28.488603743788172,29.630202376710567,41.88119462455933,5220,5428,5063,18
KOSPI,세아제강,306200,37.800193760724085,35.982101061290436,26.217706668101588,151800,157872,147246,106
KOSPI,우진,105840,36.881382714267005,35.808204530918466,27.310415735046757,21400,22256,20758,23
KOSPI,OCI,456040,36.81268116638052,39.61540125947326,23.571916829088156,116700,121368,113199,18
KOSPI,대덕,008060,32.45132151331816,35.06533587719325,32.48333813914022,21150,21996,20515,104
